Ticker,Return,Volatility,Asset Class_2,Asset Class_1,Name,feature
665531AD1 corp,0.00341069,0.014818787,Bond_HY,Bond,Northern Oil And Gas Inc Bond,
362337AK3 corp,0.001021831,0.006682499,Bond_HY,Bond,Frontier North Inc Bond,
EI8410553 corp,-0.001228548,0.053769017,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EJ5305440 corp,0.002022557,0.011899758,Bond_HY,Bond,Enquest Plc Bond,
440543AL0 corp,0.001350159,0.008077987,Bond_HY,Bond,Hornbeck Offshore Serv Bond,
440543AQ9 corp,0.001914844,0.009736013,Bond_HY,Bond,Hornbeck Offshore Serv Bond,
65504LAL1 corp,0.00117147,0.014694018,Bond_HY,Bond,Noble Holding Intl Ltd Bond,
EK8119092 corp,0.001496082,0.012372007,Bond_HY,Bond,Obrascon Huarte Lain Sa Bond,
206519AB6 corp,-0.003690288,0.053132564,Bond_HY,Bond,Concordia International Bond,
65504LAN7 corp,0.001192325,0.010828566,Bond_HY,Bond,Noble Holding Intl Ltd Bond,
EH9901297 corp,-0.002696553,0.052577367,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EI3251630 corp,0.001723431,0.0091762,Bond_HY,Bond,Csn Resources Sa Bond,
EJ5255041 corp,0.002418378,0.003769587,Bond_HY,Bond,Longfor Properties Bond,
EI3500440 corp,-0.001809751,0.059426771,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
ED8955574 corp,-0.00136629,0.042528981,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EF1877168 corp,-0.002386901,0.041224624,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EH9901214 corp,-0.001460734,0.041291166,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EI7507573 corp,-0.001194337,0.058025085,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EK1108464 corp,0.001426424,0.011731384,Bond_HY,Bond,Obrascon Huarte Lain Sa Bond,
EH3344783 corp,-0.001548506,0.042602908,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
EJ1274236 corp,0.002724553,0.0995428,Bond_HY,Bond,Bank Otkritie (Ofcb Cap) Bond,
EJ1968233 corp,-0.000935661,0.046318233,Bond_HY,Bond,Petroleos De Venezuela S Bond,
EH9753391 corp,0.001432793,0.007543956,Bond_HY,Bond,Csn Islands Xi Corp Bond,
EK3326676 corp,-0.003961033,0.049302053,Bond_HY,Bond,Bibby Offshore Services Bond,
06846NAD6 corp,0.001117328,0.007340964,Bond_HY,Bond,Bill Barrett Corp Bond,
EI5787318 corp,-0.00192736,0.054641971,Bond_HY,Bond,Petroleos De Venezuela S Bond,
665531AB5 corp,0.002503018,0.014161816,Bond_HY,Bond,Northern Oil And Gas Inc Bond,
29977HAB6 corp,0.001838128,0.015400559,Bond_HY,Bond,Ep Ener/Everest Acq Fin Bond,
EK9644809 corp,-0.005916366,0.064371019,Bond_HY,Bond,New Look Senior Issuer Bond,
570254AA0 corp,0.001575456,0.012654945,Bond_HY,Bond,Neiman Marcus Group Ltd Bond,
65504LAF4 corp,0.001172105,0.00712639,Bond_HY,Bond,Noble Holding Intl Ltd Bond,
922646AS3 corp,-0.001737602,0.046499397,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
65504RAD6 corp,0.001556806,0.022292619,Bond_HY,Bond,Noble Group Ltd Bond,
93317WAC6 corp,0.00112008,0.032915432,Bond_HY,Bond,Ditech Holding Corp Bond,
26926XAB9 corp,0.001787408,0.017089101,Bond_HY,Bond,Ev Energy Partners/Finan Bond,
EI8799468 corp,-0.001064553,0.053144324,Bond_HY,Bond,Petroleos De Venezuela S Bond,
922646BL7 corp,-0.001118886,0.048352211,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
499040AL7 corp,0.002306191,0.009489426,Bond_HY,Bond,Mcclatchy Co Bond,
65504LAP2 corp,0.001267531,0.009715451,Bond_HY,Bond,Noble Holding Intl Ltd Bond,
EH3345228 corp,-0.001409098,0.04362957,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
110394AE3 corp,0.002385164,0.011806177,Bond_HY,Bond,Bristow Group Inc Bond,
65440KAB2 corp,0.001109823,0.010252307,Bond_HY,Bond,99 Cents Only Stores Llc Bond,
74308TAB6 corp,0.00166113,0.006411019,Bond_HY,Bond,Production Res Group Bond,
466112AF6 corp,0.01524298,0.2452046,Bond_HY,Bond,Jbs Usa Lux/Jbs Usa Fin Bond,
ED2379482 corp,-0.002776786,0.053610779,Bond_HY,Bond,Republic Of Venezuela Sovereigns  Bond,
35906AAM0 corp,-0.001516523,0.012105328,Bond_HY,Bond,Frontier Communications Bond,
LW1540126 corp,-9.50E-05,0.002692957,Bond_HY,Bond,Hanesbrands Finance Lux Bond,
