Ticker,Return,Volatility,Asset Class_2,Asset Class_1,Name,feature
EK8119092 corp,0.001140569,0.010866155,Bond_HY,Bond,OBRASCON HUARTE LAIN SA,
UV3117719 corp,0.001009793,0.008807941,Bond_HY,Bond,UKREXIMBANK(BIZ FIN PLC),
EI4660896 corp,0.001310299,0.0089879,Bond_HY,Bond,VNESHECONOMBANK(VEB FIN),
466112AF6 corp,0.006955151,0.165399005,Bond_HY,Bond,JBS USA LUX/JBS USA FIN,
EJ4852087 corp,0.001075494,0.006834224,Bond_HY,Bond,KAZKOMMERTSBANK,
EI3500440 corp,-0.001948306,0.042359324,Bond_HY,Bond,REPUBLIC OF VENEZUELA,
442488BW1 corp,0.001572632,0.010947005,Bond_HY,Bond,K HOVNANIAN ENTERPRISES,
EJ1274236 corp,-0.001136695,0.095080551,Bond_HY,Bond,BANK OTKRITIE (OFCB CAP),
EK2732502 corp,0.001586363,0.010537743,Bond_HY,Bond,MATALAN FINANCE PLC,
EJ6529451 corp,0.001267187,0.016727645,Bond_HY,Bond,ALLIANCE OIL CO LTD,
74308TAB6 corp,0.001656722,0.019175352,Bond_HY,Bond,PRODUCTION RES GROUP,
65440KAB2 corp,0.001371425,0.011409969,Bond_HY,Bond,99 CENTS ONLY STORES LLC,
EI7507573 corp,-0.001704381,0.041475797,Bond_HY,Bond,REPUBLIC OF VENEZUELA,
87160JAA9 corp,0.01653391,0.044653214,Bond_HY,Bond,SYNCREON GROUP BV/SYNCRE,
EK1108464 corp,0.00131634,0.010914606,Bond_HY,Bond,OBRASCON HUARTE LAIN SA,
EK2672682 corp,0.002852875,0.019018479,Bond_HY,Bond,JOHNSTON PRESS BOND PLC,
JK4363574 corp,0.001421808,0.015860548,Bond_HY,Bond,REPUBLIC OF MOZAMBIQUE,
EG2273001 corp,0.001006787,0.007586416,Bond_HY,Bond,TESCO PLC,
EK1423236 corp,0.001127447,0.009342047,Bond_HY,Bond,ALDESA FINANCIAL SERVCS,
009705AA2 corp,0.002197237,0.009749144,Bond_HY,Bond,AJECORP BV,
197677AH0 corp,0.001620554,0.011804346,Bond_HY,Bond,HCA INC,
EK9644809 corp,-0.005074366,0.048095549,Bond_HY,Bond,NEW LOOK SENIOR ISSUER,
12612WAB0 corp,0.001018307,0.00570316,Bond_HY,Bond,XPO CNW INC,
EI5146929 corp,0.000996364,0.05725951,Bond_HY,Bond,BANCA CARIGE SPA,
206519AB6 corp,-0.003651379,0.047665566,Bond_HY,Bond,CONCORDIA INTERNATIONAL,
017363AM4 corp,0.002327874,0.039808688,Bond_HY,Bond,ALLEGHENY ENERGY SUPPLY,
78442FES3 corp,-6.08E-05,0.002854681,Bond_HY,Bond,NAVIENT CORP,
031652BG4 corp,-4.61E-05,0.003646415,Bond_HY,Bond,AMKOR TECHNOLOGY INC,
02154EAD1 corp,-4.27E-05,0.004827969,Bond_HY,Bond,ALTICE FINCO SA,
EK3735538 corp,0.000273092,0.00351914,Bond_HY,Bond,ICELAND BONDCO PLC,
EJ7472685 corp,-0.000177261,0.00391278,Bond_HY,Bond,VUE INTERNATIONAL BIDCO,
QJ4365756 corp,0.000395061,0.003769884,Bond_HY,Bond,REPUBLIC OF SRI LANKA,
LW8500974 corp,0.00027444,0.004203889,Bond_HY,Bond,REPUBLIC OF SRI LANKA,
JV6363222 corp,5.72E-05,0.003310379,Bond_HY,Bond,TELECOM ITALIA SPA,
63938CAB4 corp,0.000259989,0.00490535,Bond_HY,Bond,NAVIENT CORP,
QZ8860095 corp,0.000310382,0.005832575,Bond_HY,Bond,BANCO DE CREDITO SOCIAL,
740212AE5 corp,4.98E-05,0.004458814,Bond_HY,Bond,PRECISION DRILLING CORP,
03674XAC0 corp,5.71E-05,0.003797561,Bond_HY,Bond,ANTERO RESOURCES CORP,
125581GR3 corp,-4.18E-05,0.003182129,Bond_HY,Bond,CIT GROUP INC,
05958AAJ7 corp,0.000239431,0.002841228,Bond_HY,Bond,BANCO DO BRASIL (CAYMAN),
46556MAF9 corp,8.58E-05,0.003257752,Bond_HY,Bond,ITAU UNIBANCO HLDG SA/KY,
76116AAB4 corp,5.18E-07,0.004309638,Bond_HY,Bond,RESOLUTE ENERGY CORP,
43283QAA8 corp,0.000181129,0.003333938,Bond_HY,Bond,HILTON GRAND VACA LLC/IN,
78454LAH3 corp,5.60E-05,0.005867868,Bond_HY,Bond,SM ENERGY CO,
530715AJ0 corp,4.98E-05,0.005048941,Bond_HY,Bond,LIBERTY INTERACTIVE LLC,
15135BAD3 corp,0.000123561,0.002706403,Bond_HY,Bond,CENTENE CORP,
EK3332138 corp,0.00055673,0.005305704,Bond_HY,Bond,SELECTA GROUP BV,
966387AG7 corp,0.000116401,0.004360471,Bond_HY,Bond,WHITING PETROLEUM CORP,
EK0317074 corp,-0.000119479,0.003325533,Bond_HY,Bond,TELECOM ITALIA SPA,
EK1269464 corp,-5.30E-05,0.002895197,Bond_HY,Bond,VIRGIN MEDIA SECURED FIN,
74153QAJ1 corp,4.18E-05,0.008902986,Bond_HY,Bond,PRIDE INTERNATIONAL LLC,
